NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                      MESSAGE
kube-system                   28m         Normal    ScalingReplicaSet                        deployment/metrics-server-v1.35.1                           Scaled up replica set metrics-server-v1.35.1-868d466bb6 from 0 to 1
kube-system                   28m         Warning   FailedScheduling                         pod/l7-default-backend-7d8d77ff56-m94pq                     no nodes available to schedule pods
gmp-system                    28m         Warning   FailedScheduling                         pod/alertmanager-0                                          no nodes available to schedule pods
kube-system                   28m         Warning   FailedScheduling                         pod/metrics-server-v1.35.1-868d466bb6-87wrc                 no nodes available to schedule pods
gmp-system                    28m         Normal    SuccessfulCreate                         daemonset/collector                                         Created pod: collector-6x82c
kube-system                   28m         Warning   FailedScheduling                         pod/metrics-server-v1.35.1-77d8df7694-qgkj2                 no nodes available to schedule pods
kube-system                   28m         Warning   FailedScheduling                         pod/konnectivity-agent-7f74769845-6bqpc                     no nodes available to schedule pods
gke-managed-cim               28m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                    no nodes available to schedule pods
kube-system                   28m         Warning   FailedScheduling                         pod/metrics-server-v1.35.1-868d466bb6-87wrc                 0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
gmp-system                    28m         Normal    Scheduled                                pod/collector-hxrzl                                         Successfully assigned gmp-system/collector-hxrzl to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   28m         Normal    SuccessfulCreate                         daemonset/gke-metrics-agent                                 Created pod: gke-metrics-agent-4xssv
kube-system                   28m         Normal    Scheduled                                pod/fluentbit-gke-vvf2z                                     Successfully assigned kube-system/fluentbit-gke-vvf2z to gke-dencer-play-default-pool-846d4868-r3pj
gmp-system                    28m         Normal    SuccessfulCreate                         daemonset/collector                                         Created pod: collector-hxrzl
gmp-system                    28m         Warning   NetworkNotReady                          pod/collector-hxrzl                                         network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
kube-system                   28m         Normal    SuccessfulCreate                         daemonset/gke-metrics-agent                                 Created pod: gke-metrics-agent-kzwbc
gmp-system                    28m         Normal    Scheduled                                pod/collector-6x82c                                         Successfully assigned gmp-system/collector-6x82c to gke-dencer-play-default-pool-846d4868-r3pj
kube-system                   28m         Warning   FailedScheduling                         pod/event-exporter-gke-7c667c5978-z7t29                     0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
kube-system                   28m         Normal    Scheduled                                pod/gke-metrics-agent-kzwbc                                 Successfully assigned kube-system/gke-metrics-agent-kzwbc to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   28m         Normal    SuccessfulCreate                         daemonset/fluentbit-gke                                     Created pod: fluentbit-gke-vvf2z
kube-system                   28m         Normal    SuccessfulCreate                         daemonset/fluentbit-gke                                     Created pod: fluentbit-gke-gv2zf
kube-system                   28m         Normal    Scheduled                                pod/fluentbit-gke-gv2zf                                     Successfully assigned kube-system/fluentbit-gke-gv2zf to gke-dencer-play-default-pool-846d4868-t20r
kube-system                   28m         Normal    Scheduled                                pod/gke-metrics-agent-4xssv                                 Successfully assigned kube-system/gke-metrics-agent-4xssv to gke-dencer-play-default-pool-846d4868-r3pj
kube-system                   28m         Normal    Created                                  pod/gke-metrics-agent-kzwbc                                 Container created
gmp-system                    28m         Warning   FailedMount                              pod/collector-hxrzl                                         MountVolume.SetUp failed for volume "kube-api-access-hlqcf" : object "gmp-system"/"kube-root-ca.crt" not registered
default                       28m         Normal    Synced                                   node/gke-dencer-play-default-pool-846d4868-t20r             Node synced successfully
kube-system                   28m         Normal    Pulling                                  pod/gke-metrics-agent-kzwbc                                 Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
kube-system                   28m         Warning   FailedScheduling                         pod/konnectivity-agent-autoscaler-69d8bfcd9b-lhbnt          0/2 nodes are available: 2 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
default                       28m         Normal    Synced                                   node/gke-dencer-play-default-pool-846d4868-r3pj             Node synced successfully
kube-system                   28m         Normal    Created                                  pod/fluentbit-gke-gv2zf                                     Container created
